"area","ano","numero","texto","comando","A","B","C","D","E","resposta","imagem"
"matematica",2016,136,"Para uma feira de ciências, dois projéteis de foguetes, A e B, estão sendo construídos para serem lançados. O planejamento é que eles sejam lançados juntos, com o objetivo de o projétil B interceptar o A quando esse alcançar sua altura máxima. Para que isso aconteça, um dos projéteis descreverá uma trajetória parabólica, enquanto o outro irá descrever uma trajetória supostamente retilínea. O gráfico mostra as alturas alcançadas por esses projéteis em função do tempo, nas simulações realizadas. Com base nessas simulações, observou-se que a trajetória do projétil B deveria ser alterada para que o objetivo fosse alcançado.","Para alcançar o objetivo, o coeficiente angular da reta que representa a trajetória de B deverá","diminuir em 2 unidades","diminuir em 4 unidades","aumentar em 2 unidades.","aumentar em 4 unidades.","aumentar em 8 unidades.","C","enem-data/enem-2016/136-images/context_img_0.png"
"matematica",2016,137,"Para a construção de isolamento acústico numa parede cuja área mede 9 m², sabe-se que, se a fonte sonora estiver a 3 m do plano da parede, o custo é de R$ 500,00. Nesse tipo de isolamento, a espessura do material que reveste a parede é inversamente proporcional ao quadrado da distância até a fonte sonora, e o custo é diretamente proporcional ao volume do material do revestimento.","Uma expressão que fornece o custo para revestir uma parede de área A (em metro quadrado), situada a D metros da fonte sonora, é","","","","","","B",""
"matematica",2016,138,"A fim de acompanhar o crescimento de crianças, foram criadas pela Organização Mundial da Saúde (OMS) tabelas de altura, também adotadas pelo Ministério da Saúde do Brasil. Além de informar os dados referentes ao índice de crescimento, a tabela traz gráficos com curvas, apresentando padrões de crescimento estipulados pela OMS. O gráfico apresenta o crescimento de meninas, cuja análise se dá pelo ponto de intersecção entre o comprimento, em centímetro, e a idade, em mês completo e ano, da criança. Uma menina aos 3 anos de idade tinha altura de 85 centímetros e aos 4 anos e 4 meses sua altura chegou a um valor que corresponde a um ponto exatamente sobre a curva p50. ","Qual foi o aumento percentual da altura dessa menina, descrito com uma casa decimal, no período considerado?","23,5%","21,2%","19,0%","11,8%","10,0%","A","enem-data/enem-2016/138-images/context_img_0.png"
"matematica",2016,139,"O cultivo de uma flor rara só é viável se do mês do plantio para o mês subsequente o clima da região possuir as seguintes peculiaridades: • a variação do nível de chuvas (pluviosidade), nesses meses, não for superior a 50 mm; • a temperatura mínima, nesses meses, for superior a 15 °C; • ocorrer, nesse período, um leve aumento não superior a 5 °C na temperatura máxima. Um floricultor, pretendendo investir no plantio dessa flor em sua região, fez uma consulta a um meteorologista que lhe apresentou o gráfico com as condições previstas para os 12 meses seguintes nessa região.","Com base nas informações do gráfico, o floricultor verificou que poderia plantar essa flor rara.O mês escolhido para o plantio foi","janeiro","fevereiro","agosto","novembro","dezembro","A","enem-data/enem-2016/139-images/context_img_0.png"
"matematica",2016,140,"Uma cisterna de 6 000 L foi esvaziada em um período de 3 h. Na primeira hora foi utilizada apenas uma bomba, mas nas duas horas seguintes, a fim de reduzir o tempo de esvaziamento, outra bomba foi ligada junto com a primeira. O gráfico, formado por dois segmentos de reta, mostra o volume de água presente na cisterna, em função do tempo.","Qual é a vazão, em litro por hora, da bomba que foi ligada no início da segunda hora?","1 000","1 250","1 500","2 000","2 500","C","enem-data/enem-2016/140-images/context_img_0.png"
"matematica",2016,141,"O procedimento de perda rápida de “peso” é comum entre os atletas dos esportes de combate. Para participar de um torneio, quatro atletas da categoria até 66 kg, Peso-Pena, foram submetidos a dietas balanceadas e atividades físicas. Realizaram três “pesagens” antes do início do torneio. Pelo regulamento do torneio, a primeira luta deverá ocorrer entre o atleta mais regular e o menos regular quanto aos “pesos”. As informações com base nas pesagens dos atletas estão no quadro. Após as três “pesagens”, os organizadores do torneio informaram aos atletas quais deles se enfrentariam na primeira luta.","Após as três “pesagens”, os organizadores do torneio informaram aos atletas quais deles se enfrentariam na primeira luta.A primeira luta foi entre os atletas","I e III","I e IV","II e III","II e IV","III e IV","C","enem-data/enem-2016/141-images/context_img_0.png"
"matematica",2016,142,"De forma geral, os pneus radiais trazem em sua lateral uma marcação do tipo abc/deRfg, como 185/65R15. Essa marcação identifica as medidas do pneu da seguinte forma: • abc é a medida da largura do pneu, em milímetro; • de é igual ao produto de 100 pela razão entre a medida da altura (em milímetro) e a medida da largura do pneu (em milímetro); • R significa radial; • fg é a medida do diâmetro interno do pneu, em polegada. A figura ilustra as variáveis relacionadas com esses dados. O proprietário de um veículo precisa trocar os pneus de seu carro e, ao chegar a uma loja, é informado por um vendedor que há somente pneus com os seguintes códigos: 175/65R15, 175/75R15, 175/80R15, 185/60R15 e 205/55R15. Analisando, juntamente com o vendedor, as opções de pneus disponíveis, concluem que o pneu mais adequado para seu veículo é o que tem a menor altura.","O proprietário de um veículo precisa trocar os pneus de seu carro e, ao chegar a uma loja, é informado por um vendedor que há somente pneus com os seguintes códigos: 175/65R15, 175/75R15, 175/80R15, 185/60R15 e 205/55R15. Analisando, juntamente com o vendedor, as opções de pneus disponíveis, concluem que o pneu mais adequado para seu veículo é o que tem a menor altura. Desta forma, o proprietário do veículo deverá comprar o pneu com a marcação","205/55R15.","175/65R15.","175/75R15.","175/80R15.","185/60R15","E","enem-data/enem-2016/142-images/context_img_0.png"
"matematica",2016,143,"Um dos grandes desafios do Brasil é o gerenciamento dos seus recursos naturais, sobretudo os recursos hídricos. Existe uma demanda crescente por água e o risco de racionamento não pode ser descartado. O nível de água de um reservatório foi monitorado por um período, sendo o resultado mostrado no gráfico. Suponha que essa tendência linear observada no monitoramento se prolongue pelos próximos meses.","Nas condições dadas, qual o tempo mínimo, após o sexto mês, para que o reservatório atinja o nível zero de sua capacidade?","2 meses e meio.","3 meses e meio.","1 mês e meio.","4 meses.","1 mês.","A","enem-data/enem-2016/143-images/context_img_0.png"
"matematica",2016,144,"Um posto de saúde registrou a quantidade de vacinas aplicadas contra febre amarela nos últimos cinco meses: • 1 o mês: 21; • 2 o mês: 22; • 3 o mês: 25; • 4 o mês: 31; • 5 o mês: 21. No início do primeiro mês, esse posto de saúde tinha 228 vacinas contra febre amarela em estoque. A política de reposição do estoque prevê a aquisição de novas vacinas, no início do sexto mês, de tal forma que a quantidade inicial em estoque para os próximos meses seja igual a 12 vezes a média das quantidades mensais dessas vacinas aplicadas nos últimos cinco meses.","Para atender essas condições, a quantidade de vacinas contra febre amarela que o posto de saúde deve adquirir no início do sexto mês é","156","180","192","264","288","B",""
"matematica",2016,145,"Uma liga metálica sai do forno a uma temperatura de 3 000 °C e diminui 1% de sua temperatura a cada 30 min. Use 0,477 como aproximação para log 10 (3) e 1,041 como aproximação para log 10 (11).","O tempo decorrido, em hora, até que a liga atinja 30 °C é mais próximo de","22","50","100","200","400","D",""
