"area","ano","numero","texto","comando","A","B","C","D","E","resposta","imagem"
"ciencias-humanas",2010,1," Antes, eram apenas as grandes cidades que se apresentavam como o império da técnica, objeto de modificações, suspensões, acréscimos, cada vez mais sofisticadas e carregadas de artifício. Esse mundo artificial inclui, hoje, o mundo rural.   SANTOS, M. A Natureza do Espaço. São Paulo: Hucitec, 1996. "," Considerando a transformação mencionada no texto, uma consequência socioespacial que caracteriza o atual mundo rural brasileiro é ","a redução do processo de concentração de terras.","o aumento do aproveitamento de solos menos férteis.","a ampliação do isolamento do espaço rural.","a estagnação da fronteira agrícola do país.","a diminuição do nível de emprego formal.","B",""
"ciencias-humanas",2010,2," "," O gráfico representa a relação entre o tamanho e a totalidade dos imóveis rurais no Brasil. Que característica da estrutura fundiária brasileira está evidenciada no gráfico apresentado? ","A concentração de terras nas mãos de poucos.","A existência de poucas terras agricultáveis.","O domínio territorial dos minifúndios.","A primazia da agricultura familiar.","A debilidade dos plantations modernos.","A","enem-data/enem-2010/2-images/context_img_0.png"
"ciencias-humanas",2010,3," A maioria das pessoas daqui era do campo. Vila Maria é hoje exportadora de trabalhadores. Empresários de Primavera do Leste, Estado de Mato Grosso, procuram o bairro de Vila Maria para conseguir mão de obra. É gente indo distante daqui 300, 400 quilômetros para ir trabalhar, para ganhar sete conto por dia. (Carlito, 43 anos, maranhense, entrevistado em 22/03/98). Ribeiro, H. S. O migrante e a cidade: dilemas e conflitos. Araraquara: Wunderlich, 2001 (adaptado). "," O texto retrata um fenômeno vivenciado pela agricultura brasileira nas últimas décadas do século XX, consequência ","dos impactos sociais da modernização da agricultura.","da recomposição dos salários do trabalhador rural.","da exigência de qualificação do trabalhador rural.","da diminuição da importância da agricultura.","dos processos de desvalorização de áreas rurais.","A",""
"ciencias-humanas",2010,4," Os lixões são o pior tipo de disposição final dos resíduos sólidos de uma cidade, representando um grave problema ambiental e de saúde pública. Nesses locais, o lixo é jogado diretamente no solo e a céu aberto, sem nenhuma norma de controle, o que causa, entre outros problemas, a contaminação do solo e das águas pelo chorume (líquido escuro com alta carga poluidora, proveniente da decomposição da matéria orgânica presente no lixo).   RICARDO, B.; CANPANILLI, M. Almanaque Brasil Socioambiental 2008. São Paulo, Instituto Socioambiental, 2007. "," Considere um município que deposita os resíduos sólidos produzidos por sua população em um lixão. Esse procedimento é considerado um problema de saúde pública porque os lixões ","causam problemas respiratórios, devido ao mau cheiro que provém da decomposição.","são locais propícios à proliferação de vetores de doenças, além de contaminarem o solo e as águas.","provocam o fenômeno da chuva ácida, devido aos gases oriundos da decomposição da matéria orgânica.","são instalados próximos ao centro das cidades, afetando toda a população que circula diariamente na área.","são responsáveis pelo desaparecimento das nascentes na região onde são instalados, o que leva à escassez de água.","B",""
"ciencias-humanas",2010,5," TEIXEIRA. W. et al. (Orgs). Decifrando a Terra. São Paulo: Companhia Editora Nacional, 2009. "," Muitos processos erosivos se concentram nas encostas, principalmente aqueles motivados pela água e pelo vento. No entanto, os reflexos também são sentidos nas áreas de baixada, onde geralmente há ocupação urbana. Um exemplo desses reflexos na vida cotidiana de muitas cidades brasileiras é ","a maior ocorrência de enchentes, já que os rios assoreados comportam menos água em seus leitos.","a contaminação da população pelos sedimentos trazidos pelo rio e carregados de matéria orgânica.","o desgaste do solo nas áreas urbanas, causado pela redução do escoamento superficial pluvial na encosta.","a maior facilidade de captação de água potável para o abastecimento público, já que é maior o efeito do escoamento sobre a infiltração.","o aumento da incidência de doenças como a amebíase na população urbana, em decorrência do escoamento de água poluída do topo das encostas.","A","enem-data/enem-2010/5-images/context_img_0.png"
"ciencias-humanas",2010,6," TEIXEIRA. W. et al. (Orgs). Decifrando a Terra. São Paulo: Companhia Editora Nacional, 2009. "," O esquema representa um processo de erosão em encosta. Que prática realizada por um agricultor pode resultar em aceleração desse processo? ","Plantio direto.","Associação de culturas.","Implantação de curvas de nível.","Aração do solo, do topo ao vale.","Terraceamento na propriedade.","D","enem-data/enem-2010/6-images/context_img_0.png"
"ciencias-humanas",2010,7," Pensando nas correntes e prestes a entrar no braço que deriva da Corrente do Golfo para o norte, lembrei-me de um vidro de café solúvel vazio. Coloquei no vidro uma nota cheia de zeros, uma bola cor rosa-choque. Anotei a posição e data: Latitude 49º49′ N, Longitude 23º49′ W. Tampei e joguei na água. Nunca imaginei que receberia uma carta com a foto de um menino norueguês, segurando a bolinha e a estranha nota. KLINK, A. Parati: entre dois pólos. São Paulo: Companhia das Letras, 1998 (adaptado). "," No texto, o autor anota sua coordenada geográfica, que é ","a relação que se estabelece entre as distâncias representadas no mapa e as distâncias reais da superfície cartografada.","o registro de que os paralelos são verticais e o convergem para os polos, e os meridianos são círculos imaginários, horizontais e equidistantes.","a informação de um conjunto de linhas imaginárias que permitem localizar um ponto ou acidente geográfico na superfície terrestre.","a latitude como distância em graus entre um ponto e o Meridiano de Greenwich, e a longitude como a distância em graus entre um ponto e o Equador.","a forma de projeção cartográfica, usado para navegação, onde os meridianos e paralelos distorcem a superfície do planeta.","C",""
"ciencias-humanas",2010,8," A evolução do processo de transformação de matérias-primas em produtos acabados ocorreu em três estágios: artesanato, manufatura e maquinofatura. "," Um desses estágios foi o artesanato, em que se ","trabalhava conforme o ritmo das máquinas e de maneira padronizada.","trabalhava geralmente sem o uso de máquinas e de modo diferente do modelo de produção em série.","empregavam fontes de energia abundantes para o funcionamento das máquinas.","realizava parte da produção por cada operário, com uso de máquinas e trabalho assalariado.","faziam interferência do processo produtivo por técnicos e gerentes com vistas a determinar o ritmo de produção.","B",""
"ciencias-humanas",2010,9," O G-20 é o grupo que reúne os países do G-7, os mais industrializados do mundo (EUA, Japão, Alemanha, França, Reino Unido, Itália e Canadá), a União Europeia e os principais emergentes (Brasil, Rússia, Índia, China, África do Sul, Arábia Saudita, Argentina, Austrália, Coreia do Sul, Indonésia, México e Turquia). Esse grupo de países vem ganhando força nos fóruns internacionais de decisão e consulta.   ALLAN. R. Crise global. Dísponivel em: http://conteudoclippingmp.planejamento.gov.br. Acesso em: 31 jul. 2010. "," Entre os países emergentes que formam o G-20, estão os chamados BRIC (Brasil, Rússia, Índia e China), termo criado em 2001 para referir-se aos países que ","apresentam características econômicas promissoras para as próximas décadas.","possuem base tecnológica mais elevada.","apresentam índices de igualdade social e econômica mais acentuados.","apresentam diversidade ambiental suficiente para impulsionar a economia global.","possuem similaridades culturais capazes de alavancar a economia mundial.","A",""
"ciencias-humanas",2010,10," A serraria construía ramais ferroviários que adentravam as grandes matas, onde grandes locomotivas com guindastes e correntes gigantescas de mais de 100 metros arrastavam, para as composições de trem, as toras que jaziam abatidas por equipes de trabalhadores que anteriormente passavam pelo local. Quando o guindaste arrastava as grandes toras em direção à composição de trem, os ervais nativos que existiam em meio às matas eram destruídos por este deslocamento. MACHADO P. P. Lideranças do Contestado. Campinas: Unicamp, 2004 (adaptado). "," No início do século XX, uma série de empreendimentos capitalistas chegou à região do meio-oeste de Santa Catarina – ferrovias, serrarias e projetos de colonização. Os impactos sociais gerados por esse processo estão na origem da chamada Guerra do Contestado. Entre tais impactos, encontrava-se ","a absorção dos trabalhadores rurais como trabalhadores da serraria, resultando em um processo de êxodo rural.","o desemprego gerado pela introdução das novas máquinas, que diminuíam a necessidade de mão de obra.","a desorganização da economia tradicional, que sustentava os posseiros e os trabalhadores rurais da região.","a diminuição do poder dos grandes coronéis da região, que passavam disputar o poder político com os novos agentes.","o crescimento dos conflitos entre os operários empregados nesses empreendimentos e os seus proprietários, ligados ao capital internacional.","C",""
