"area","ano","numero","texto","comando","A","B","C","D","E","resposta","imagem"
"ciencias-natureza",2015,46," Certos tipos de superfícies na natureza podem refletir luz de forma a gerar um efeito de arco-íris. Essa característica é conhecida como iridescência e ocorre por causa do fenômeno da interferência de película fina. A figura ilustra o esquema de uma fina camada iridescente de óleo sobre uma poça d’água. Parte do feixe de luz branca incidente 1 reflete na interface ar/óleo e sofre inversão de fase 2 , o que equivale a uma mudança de meio comprimento de onda. A parte refratada do feixe 3 incide na interface óleo/água e sofre reflexão sem inversão de fase  4 . O observador indicado enxergará aquela região do filme com coloração equivalente à do comprimento de onda que sofre interferência completamente construtiva entre os raios 2 e 5 , mas essa condição só é possível para uma espessura mínima da película. Considere que o caminho percorrido em 3 e 4 corresponde ao dobro da espessura E da película de óleo."," Expressa em termos do comprimento de onda (λ), a espessura mínima é igual a ","λ / 4.","λ / 2.","3λ / 4.","λ.","2λ.","A","enem-data/enem-2015/46-images/context_img_0.png"
"ciencias-natureza",2015,47," Um importante princípio da biologia, relacionado à transmissão de caracteres e à embriogênese humana, foi quebrado com a descoberta do microquimerismo fetal. Microquimerismo é o nome dado ao fenômeno biológico referente a uma pequena população de células ou DNA presente em um indivíduo, mas derivada de um organismo geneticamente distinto. Investigando-se a presença do cromossomo Y, foi revelado que diversos tecidos de mulheres continham células masculinas. A análise do histórico médico revelou uma correlação extremamente curiosa: apenas as mulheres que antes tiveram filhos homens apresentaram microquimerismo masculino. Essa correlação levou à interpretação de que existe uma troca natural entre células do feto e maternas durante a gravidez. MUOTRI, A. Você não é só você: carregamos células maternas na maioria de nossos órgãos. Disponível em: http://g1.globo.com. Acesso em: 4 dez. 2012 (adaptado). "," O princípio contestado com essa descoberta, relacionado ao desenvolvimento do corpo humano, é o de que ","o fenótipo das nossas células pode mudar por influência do meio ambiente.","a dominância genética determina a expressão de alguns genes.","as mutações genéticas introduzem variabilidade no genoma.","as mitocôndrias e o seu DNA provêm do gameta materno.","as nossas células corporais provêm de um único zigoto.","E",""
"ciencias-natureza",2015,48,"Hipoxia ou mal das alturas consiste na diminuição de oxigênio (O2) no sangue arterial do organismo. Por essa razão, muitos atletas apresentam mal-estar (dores de cabeça, tontura, falta de ar etc.) ao praticarem atividade física em altitudes elevadas. Nessas condições, ocorrerá uma diminuição na concentração de hemoglobina oxigenada (HbO2) em equilíbrio no sangue, conforme a relação:Hb (aq) + O2 (aq)    HbO2 (aq) Mal da montanha. Disponível em: www.feng.pucrs.br. Acesso em: 11 fev. 2015 (adaptado). "," A alteração da concentração de hemoglobina oxigenada no sangue ocorre por causa do(a) "," elevação da pressão arterial. "," aumento da temperatura corporal. "," redução da temperatura do ambiente. "," queda da pressão parcial de oxigênio. "," diminuição da quantidade de hemácias.","D",""
"ciencias-natureza",2015,49,"A indústria têxtil utiliza grande quantidade de corantes no processo de tingimento dos tecidos. O escurecimento das águas dos rios causado pelo despejo desses corantes pode desencadear uma série de problemas no ecossistema aquático."," Considerando esse escurecimento das águas, o impacto negativo inicial que ocorre é o(a) "," eutrofização. "," proliferação de algas. ","inibição da fotossíntese. "," fotodegradação da matéria orgânica. "," aumento da quantidade de gases dissolvidos","C",""
"ciencias-natureza",2015,50," Em um experimento, colocou-se água até a metade da capacidade de um frasco de vidro e, em seguida, adicionaram-se três gotas de solução alcoólica de fenolftaleína. Adicionou-se bicarbonato de sódio comercial, em pequenas quantidades, até que a solução se tornasse rosa. Dentro do frasco, acendeu-se um palito de fósforo, o qual foi apagado assim que a cabeça terminou de queimar. Imediatamente, o frasco foi tampado. Em seguida, agitou-se o frasco tampado e observou-se o desaparecimento da cor rosa. MATEUS, A. L. Química na cabeça. Belo Horizonte: UFMG, 2001 (adaptado). "," A explicação para o desaparecimento da cor rosa é que, com a combustão do palito de fósforo, ocorreu o(a) ","formação de óxidos de caráter ácido.","evaporação do indicador fenolftaleína.","vaporização de parte da água do frasco.","vaporização dos gases de caráter alcalino.","aumento do pH da solução no interior do frasco.","A",""
"ciencias-natureza",2015,51," Uma pessoa abre sua geladeira, verifica o que há dentro e depois fecha a porta dessa geladeira. Em seguida, ela tenta abrir a geladeira novamente, mas só consegue fazer isso depois de exercer uma força mais intensa do que a habitual. "," A dificuldade extra para reabrir a geladeira ocorre porque o(a) ","volume de ar dentro da geladeira diminuiu.","motor da geladeira está funcionando com potência máxima.","força exercida pelo imã fixado na porta da geladeira aumenta.","pressão no interior da geladeira está abaixo da pressão externa.","temperatura no interior da geladeira é inferior ao valor existente antes de ela ser aberta.","D",""
"ciencias-natureza",2015,52," Uma análise criteriosa do desempenho de Usain Bolt na quebra do recorde mundial dos 100 metros rasos mostrou que, apesar de ser o último dos corredores a reagir ao tiro e iniciar a corrida, seus primeiros 30 metros foram os mais velozes já feitos em um recorde mundial, cruzando essa marca em 3,78 segundos. Até se colocar com o corpo reto, foram 13 passadas, mostrando sua potência durante a aceleração, o momento mais importante da corrida. Ao final desse percurso, Bolt havia atingido a velocidade máxima de 12 m/s. Disponível em: http://esporte.uol.com.br. Acesso em: 5 ago. 2012 (adaptado) "," Supondo que a massa desse corredor seja igual a 90 kg, o trabalho total realizado nas 13 primeiras passadas é mais próximo de: ","5,4 x 10² J.","6,5 x 10³ J.","8,6 x 10³ J.","1,3 x 104 J.","3,2 x 104 J.","B",""
"ciencias-natureza",2015,53," A bomba reduz neutros e neutrinos, e abana-se com o leque da reação em cadeia ANDRADE, C. D. Poesia completa e prosa. Rio de Janeiro: Aguilar, 1973 (fragmento) "," Nesse fragmento de poema, o autor refere-se à bomba atômica de urânio. Essa reação é dita “em cadeia” porque na ","fissão do 235U ocorre liberação de grande quantidade de calor, que dá continuidade à reação.","fissão do 235U ocorre liberação de energia, que vai desintegrando o isótopo 238U, enriquecendo-o em mais 235U.","fissão do 235U ocorre uma liberação de nêutrons, que bombardearão outros núcleos.","fusão do 235U com 238U ocorre formação de neutrino, que bombardeará outros núcleos radioativos.","fusão do 235U com 238U ocorre formação de outros elementos radioativos mais pesados, que desencadeiam novos processos de fusão.","C",""
"ciencias-natureza",2015,54," A palavra “biotecnologia” surgiu no século XX, quando o cientista Herbert Boyer introduziu a informação responsável pela fabricação da insulina humana em uma bactéria, para que ela passasse a produzir a substância. Disponível em: www.brasil.gov.br. Acesso em: 28 jul. 2012 (adaptado). "," As bactérias modificadas por Herbert Boyer passaram a produzir insulina humana porque receberam ","a sequência de DNA codificante de insulina humana.","a proteína sintetizada por células humanas.","um RNA recombinante de insulina humana.","o RNA mensageiro de insulina humana.","um cromossomo da espécie humana.","A",""
"ciencias-natureza",2015,55," Será que uma miragem ajudou a afundar o Titanic? O fenômeno ótico conhecido como Fata Morgana pode fazer com que uma falsa parede de água apareça sobre o horizonte molhado. Quando as condições são favoráveis, a luz refletida pela água fria pode ser desviada por uma camada incomum de ar quente acima, chegando até o observador, vinda de muitos ângulos diferentes. De acordo com estudos de pesquisadores da Universidade de San Diego, uma Fata Morgana pode ter obscurecido os icebergs da visão da tripulação que estava a bordo do Titanic. Dessa forma, a certa distancia, o horizonte verdadeiro fica encoberto por uma névoa escurecida, que se parece muito com águas calmas no escuro. Disponível em: http://apod.nasa.gov. Acesso em: 6 set. 2012 (adaptado). "," O fenômeno ótico que, segundo os pesquisadores, provoca a Fata Morgana é a ","ressonância.","refração.","difração.","reflexão.","difusão.","B",""
"ciencias-natureza",2015,56,"Para proteger estruturas de aço da corrosão, a indústria utiliza uma técnica chamada galvanização. Um metal bastante utilizado nesse processo é o zinco, que pode ser obtido a partir de um minério denominado esfalerita (ZnS), de pureza 75%. Considere que a conversão do minério em zinco metálico tem rendimento de 80% nesta sequência de equações químicas: Considere as massas molares: ZnS (97 g/mol); O2 (32 g/mol); ZnO (81 g/mol); SO2 (64 g/mol); CO (28 g/mol); CO2 (44 g/mol); e Zn (65 g/mol). "," Que valor mais próximo de massa de zinco metálico, em quilogramas, será produzido a partir de 100 kg de esfalerita? ","25","33","40","50","54","C",""
"ciencias-natureza",2015,57," O aproveitamento de resíduos florestais vem se tornando cada dia mais atrativo, pois eles são uma fonte renovável de energia. A figura representa a queima de um bio-óleo extraído do resíduo de madeira, sendo ∆H1 a variação de entalpia devido à queima de 1 g desse bio-óleo, resultando em gás carbônico e água líquida, e∆H2 a variação de entalpia envolvida na conversão de 1 g de água no estado gasoso para o estado líquido."," A variação de entalpia, em kJ, para a queima de 5 g desse bio-óleo resultando em CO2 (gasoso) e H2O (gasoso) é: ","-106.","-94,0.","-82,0.","-21,2.","-16,4.","C","enem-data/enem-2015/57-images/context_img_0.png"
"ciencias-natureza",2015,58," Entre os anos de 1028 e 1038, Alhazen (Ibn al-Haytham; 965-1040 d.C.) escreveu sua principal obra, o Livro da Óptica, que, com base em experimentos, explicava o funcionamento da visão e outros aspectos da ótica, por exemplo, o funcionamento da câmara escura. O livro foi traduzido e incorporado aos conhecimentos científicos ocidentais pelos europeus. Na figura, retirada dessa obra, é representada a imagem invertida de edificações em um tecido utilizado como anteparo ZEWAIL, A. H. Micrographia of the twenty-first century: from camera obscura to 4D microscopy.Philosophical Transactions of the Royal Society A, v. 368, 2010 (adaptado)."," Se fizermos uma analogia entre a ilustração e o olho humano, o tecido corresponde ao(à) ","íris.","retina.","pupila.","córnea.","cristalino.","B","enem-data/enem-2015/58-images/context_img_0.png"
"ciencias-natureza",2015,59," Um garoto foi à loja comprar um estilingue e encontrou dois modelos: um com borracha mais “dura” e outro com borracha mais “mole”. O garoto concluiu que o mais adequado seria o que proporcionasse maior alcance horizontal, D, para as mesmas condições de arremesso, quando submetidos à mesma força aplicada. Sabe-se que a constante elástica kd (do estilingue mais “duro”) é o dobro da constante elástica Km (do estilingue mais “mole”). "," A razão entre os alcances Dd  / Dm, referentes aos estilingues com borrachas “dura” e “mole”, respectivamente, é igual a ","1 / 4.","1 / 2.","1.","2.","4.","B",""
"ciencias-natureza",2015,60,"Vários ácidos são utilizados em indústrias que descartam seus efluentes nos corpos d’água, como rios e lagos, podendo afetar o equilíbrio ambiental. Para neutralizar a acidez, o sal carbonato de cálcio pode ser adicionado ao efluente, em quantidades apropriadas, pois produz bicarbonato, que neutraliza a água. As equações envolvidas no processo são apresentadas "," Com base nos valores das constantes de equilíbrio das reações II, III e IV a 25 oC, qual é o valor numérico da constante de equilíbrio da reação I? ","4,5x10-26","5x105","0,8x10-9","0,2x105","2,2x1026","B","enem-data/enem-2015/60-images/context_img_0.png"
"ciencias-natureza",2015,61," Tanto a febre amarela quanto a dengue são doenças causadas por vírus do grupo dos arbovírus, pertencentes ao gênero Flavivirus, existindo quatro sorotipos para o vírus causador da dengue. A transmissão de ambas acontece por meio da picada de mosquitos, como o Aedes aegypti. Entretanto, embora compartilhem essas características, hoje somente existe vacina, no Brasil, para a febre amarela e nenhuma vacina efetiva para a dengue. MINISTÉRIO DA SAÚDE. Fundação Nacional de Saúde. Dengue: Instruções para pessoal de combate ao vetor. Manual de Normas Técnicas. Disponível em: http://portal.saude.gov.br. Acesso em: 7 ago. 2012 (adaptado). "," Esse fato pode ser atribuído à ","maior taxa de mutação do vírus da febre amarela do que do vírus da dengue.","alta variabilidade antigênica do vírus da dengue em relação ao vírus da febre amarela.","menor adaptação do vírus da dengue à população humana do que do vírus da febre amarela.","presença de dois tipos de ácidos nucleicos no vírus da dengue e somente um tipo no vírus da febre amarela.","baixa capacidade de indução da resposta imunológica pelo vírus da dengue em relação ao da febre amarela.","B",""
"ciencias-natureza",2015,62,"A calda bordalesa é uma alternativa empregada no combate a doenças que afetam folhas de plantas. Sua produção consiste na mistura de uma solução aquosa de sulfato de cobre(II), CuSO4, com óxido de cálcio, CaO, e sua aplicação só deve ser realizada se estiver levemente básica. A avaliação rudimentar da basicidade dessa solução é realizada pela adição de três gotas sobre uma faca de ferro limpa. Após três minutos, caso surja uma mancha avermelhada no local da aplicação, afirma-se que a calda bordalesa ainda não está com a basicidade necessária. O quadro apresenta os valores de potenciais padrão de redução (E°) para algumas semirreações de redução. "," A equação química que representa a reação de formação da mancha avermelhada é: ","Ca2+(aq) + 2Cu+(aq) --> Ca(s) + 2Cu2+(aq)).","Ca2+(aq) + 2Fe2+(aq) --> Ca(s) + 2Fe3+(aq).","Cu2+(aq) + 2 Fe2+(aq) --> Cu(s) + 2Fe3+(aq).","3Ca2+(aq) + 2 Fe(s) --> 3 Ca(s) + 2Fe3+(aq).","3 Cu2+(aq) + 2 Fe(s) --> 3 Cu(s) + 2 Fe3+(aq).","E","enem-data/enem-2015/62-images/context_img_0.png"
"ciencias-natureza",2015,63," Em um experimento, um professor levou para a sala de aula um saco de arroz, um pedaço de madeira triangular e uma barra de ferro cilíndrica e homogênea. Ele propôs que fizessem a medição da massa da barra utilizando esses objetos. Para isso, os alunos fizeram marcações na barra, dividindo-a em oito partes iguais, e em seguida apoiaram-na sobre a base triangular, com o saco de arroz pendurado em uma de suas extremidades, até atingir a situação de equilíbrio."," Nessa situação, qual foi a massa da barra obtida pelos alunos? ","3,00 kg","3,75 kg","5,00 kg","6,00 kg","15,00 kg","E","enem-data/enem-2015/63-images/context_img_0.png"
"ciencias-natureza",2015,64," Os anfíbios representam o primeiro grupo de vertebrados que, evolutivamente, conquistou o ambiente terrestre. Apesar disso, a sobrevivência do grupo ainda permanece restrita a ambientes úmidos ou aquáticos, devido à manutenção de algumas características fisiológicas relacionadas à água. "," Uma das características a que o texto se refere é a ","reprodução por viviparidade.","respiração pulmonar nos adultos.","regulação térmica por endotermia.","cobertura corporal delgada e altamente permeável.","locomoção por membros anteriores e posteriores desenvolvidos.","D",""
"ciencias-natureza",2015,65,"Hidrocarbonetos podem ser obtidos em laboratório por descarboxilação oxidativa anódica, processo conhecido como eletrossíntese de Kolbe. Essa reação é utilizada na síntese de hidrocarbonetos diversos, a partir de óleos vegetais, os quais podem ser empregados como fontes alternativas de energia, em substituição aos hidrocarbonetos fósseis. O esquema ilustra simplificadamente esse processo. "," Com base nesse processo, o hidrocarboneto produzido na eletrólise do ácido 3,3-dimetil-butanoico é o ","2,2,7,7-tetrametil-octano.","3,3,4,4-tetrametil-hexano.","2,2,5,5-tetrametil-hexano.","3,3,6,6-tetrametil-octano.","2,2,4,4-tetrametil-hexano.","C","enem-data/enem-2015/65-images/context_img_0.png"
"ciencias-natureza",2015,66,"A definição de queimadura é bem ampla, porém, basicamente, é a lesão causada pela ação direta ou indireta produzida pela transferência de calor para o corpo. A sua manifestação varia desde bolhas (flictenas) até formas mais graves, capazes de desencadear respostas sistêmicas proporcionais à gravidade da lesão e sua respectiva extensão. Muitas vezes, os primeiros socorros prestados à vítima, ao invés de ajudar, acabam agravando ainda mais a situação do paciente.Disponível em: www.bombeiros-bm.rs.gov.br. Acesso em: 28 fev. 2012 (adaptado). ","Ao se deparar com um indivíduo que sofreu queimadura com formação de flictena, o procedimento de primeiros socorros que deve ser realizado antes de encaminhar o paciente ao hospital é "," colocar gelo sobre a flictena para amenizar o ardor. "," utilizar manteiga para evitar o rompimento da flictena. "," passar creme dental para diminuir a ardência da flictena. "," perfurar a flictena para que a água acumulada seja liberada. "," cobrir a flictena com gazes molhadas para evitar a desidratação. ","E",""
"ciencias-natureza",2015,67," As altas temperaturas de combustão e o atrito entre suas peças móveis são alguns dos fatores que provocam o aquecimento dos motores à combustão interna. Para evitar o superaquecimento e consequentes danos a esses motores, foram desenvolvidos os atuais sistemas de refrigeração, em que um fluido arrefecedor com propriedades especiais circula pelo interior do motor, absorvendo o calor que, ao passar pelo radiador, é transferido para a atmosfera. "," Qual propriedade o fluido arrefecedor deve possuir para cumprir seu objetivo com maior eficiência? ","Alto calor específico.","Alto calor latente de fusão.","Baixa condutividade térmica.","Baixa temperatura de ebulição.","Alto coeficiente de dilatação térmica.","A",""
"ciencias-natureza",2015,68," Pesticidas são substâncias utilizadas para promover o controle de pragas. No entanto, após sua aplicação em ambientes abertos, alguns pesticidas organoclorados são arrastados pela água até lagos e rios e, ao passar pelas guelras dos peixes, podem difundir-se para seus tecidos lipídicos e lá se acumularem. "," A característica desses compostos, responsável pelo processo descrito no texto, é o(a) ","baixa polaridade.","baixa massa molecular.","ocorrência de halogênios.","tamanho pequeno das moléculas.","presença de hidroxilas nas cadeias.","A",""
"ciencias-natureza",2015,69,"A hidroponia pode ser definida como uma técnica de produção de vegetais sem necessariamente a presença de solo. Uma das formas de implementação é manter as plantas com suas raízes suspensas em meio líquido, de onde retiram os nutrientes essenciais. Suponha que um produtor de rúcula hidropônica precise ajustar a concentração do íon nitrato (NO −) para 0,009 mol/L em um tanque de 5 000 litros e, para tanto, tem em mãos uma solução comercial nutritiva de nitrato de cálcio 90 g/L. As massas molares dos elementos N, O e Ca são iguais a 14 g/mol, 16 g/mol e 40 g/mol, respectivamente."," Qual o valor mais próximo do volume da solução nutritiva, em litros, que o produtor deve adicionar ao tanque? "," 26 "," 41 "," 45 "," 51 "," 82 ","B",""
"ciencias-natureza",2015,70,"Algumas raças de cães domésticos não conseguem copular entre si devido à grande diferença em seus tamanhos corporais. Ainda assim, tal dificuldade reprodutiva não ocasiona a formação de novas espécies (especiação)."," Essa especiação não ocorre devido ao(à) "," oscilação genética das raças."," convergência adaptativa das raças.","isolamento geográfico entre as raças.","	seleção natural que ocorre entre as raças. "," manutenção do fluxo gênico entre as raças ","E",""
"ciencias-natureza",2015,71," O ar atmosférico pode ser utilizado para armazenar o excedente de energia gerada no sistema elétrico, diminuindo seu desperdício, por meio do seguinte processo: água e gás carbônico são inicialmente removidos do ar atmosférico e a massa de ar restante é resfriada ate -198°C. Presente na proporção de 78% dessa massa de ar, o nitrogênio gasoso é liquefeito, ocupando um volume 700 vezes menor. A energia excedente do sistema elétrico é utilizada nesse processo, sendo parcialmente recuperada quando o nitrogênio líquido, exposto à temperatura ambiente, entra em ebulição e se expande, fazendo girar turbinas que convertem energia mecânica em energia elétrica. MACHADO, R. Disponível em: www.correiobraziliense.com.br. Acesso em: 9 set. 2013 (adaptado). "," No processo descrito, o excedente de energia elétrica é armazenado pela ","expansão do nitrogênio durante a ebulição.","absorção de calor pelo nitrogênio durante a ebulição.","realização de trabalho sobre o nitrogênio durante a liquefação.","retirada de água e gás carbônico da atmosfera antes do resfriamento.","liberação de calor do nitrogênio para a vizinhança durante a liquefação","C",""
"ciencias-natureza",2015,72," Alimentos em conserva são frequentemente armazenados em latas metálicas seladas, fabricadas com um material chamado folha de flandres, que consiste de uma chapa de aço revestida com uma fina camada de estanho, metal brilhante e de difícil oxidação. É comum que a superfície interna seja ainda revestida por uma camada de verniz à base de epóxi, embora também existam latas sem esse revestimento, apresentando uma camada de estanho mais espessa. SANTANA, V. M. S. A leitura e a química das substâncias. Cadernos PDE. Ivaiporã: Secretaria de Estado da Educação do Paraná (SEED); Universidade Estadual de Londrina, 2010 (adaptado). "," Comprar uma lata de conserva amassada no supermercado é desaconselhável porque o amassado pode ","alterar a pressão no interior da lata, promovendo a degradação acelerada do alimento.","romper a camada de estanho, permitindo a corrosão do ferro e alterações do alimento.","prejudicar o apelo visual da embalagem, apesar de não afetar as propriedades do alimento.","romper a camada de verniz, fazendo com que o metal tóxico estanho contamine o alimento.","desprender camadas de verniz, que se dissolverão no meio aquoso, contaminando o alimento.","B",""
"ciencias-natureza",2015,73," Ao ouvir uma flauta e um piano emitindo a mesma nota musical, consegue-se diferenciar esses instrumentos um do outro. "," Essa diferenciação se deve principalmente ao(à) ","intensidade sonora do som de cada instrumento musical.","potência sonora do som emitido pelos diferentes instrumentos musicais.","diferente velocidade de propagação do som emitido por cada instrumento musical.","timbre do som, que faz com que os formatos das ondas de cada instrumento sejam diferentes.","altura do som, que possui diferentes frequências para diferentes instrumentos musicais.","D",""
"ciencias-natureza",2015,74," O formato das células de organismos pluricelulares é extremamente variado. Existem células discoides, como é o caso das hemácias, as que lembram uma estrela, como os neurônios, e ainda algumas alongadas, como as musculares. "," Em um mesmo organismo, a diferenciação dessas células ocorre por ","produzirem mutações específicas.","possuírem DNA mitocondrial diferentes.","apresentarem conjunto de genes distintos.","expressarem porções distintas do genoma.","terem um número distinto de cromossomos.","D",""
"ciencias-natureza",2015,75," Para obter a posição de um telefone celular, a polícia baseia-se em informações do tempo de resposta do aparelho em relação às torres de celular da região de onde se originou a ligação. Em uma região, um aparelho está na área de cobertura de cinco torres, conforme o esquema "," Considerando que as torres e o celular são puntiformes e que estão sobre um mesmo plano, qual o número mínimo de torres necessárias para se localizar a posição do do telefone celular que originou a ligação? ","Uma.","Duas.","Três.","Quatro.","Cinco.","C","enem-data/enem-2015/75-images/context_img_0.png"
"ciencias-natureza",2015,76," Muitos estudos de síntese e endereçamento de proteínas utilizam aminoácidos marcados radioativamente para acompanhar as proteínas, desde fases iniciais de sua produção até seu destino final. Esses ensaios foram muito empregados para estudo e caracterização de células secretoras. "," Após esses ensaios de radioatividade, qual o gráfico que representa a evolução temporal da produção de proteínas e sua localização em uma célula secretora? ","enem-data/enem-2015/76-images/alt_img_0.png","enem-data/enem-2015/76-images/alt_img_1.png","enem-data/enem-2015/76-images/alt_img_2.png","enem-data/enem-2015/76-images/alt_img_3.png","enem-data/enem-2015/76-images/alt_img_4.png","C",""
"ciencias-natureza",2015,77," Um carro solar é um veículo que utiliza apenas a energia solar para a sua locomoção. Tipicamente, o carro contém um painel fotovoltaico que converte a energia do Sol em energia elétrica que, por sua vez, alimenta um motor elétrico. A imagem mostra o carro solar Tokai Challenger, desenvolvido na Universidade de Tokai, no Japão, e que venceu o World Solar Challenge de 2009, uma corrida internacional de carros solares, tendo atingido uma velocidade média acima de 100 km/h.Considere uma região plana onde a insolação (energia solar por unidade de tempo e de área que chega à superfície da Terra) seja de 1 000 W/m² , que o carro solar possua massa de 200 kg e seja construído de forma que o painel fotovoltaico em seu topo tenha uma área de 9,0 m² e rendimento de 30%. "," Desprezando as forças de resistência do ar, o tempo que esse carro solar levaria, a partir do repouso, para atingir a velocidade de 108 km/h é um valor mais próximo de ","1,0 s.","4,0 s.","10 s.","33 s.","300 s.","D","enem-data/enem-2015/77-images/context_img_0.png"
"ciencias-natureza",2015,78,"Euphorbia milii é uma planta ornamental amplamente disseminada no Brasil e conhecida como coroa-de-cristo.O estudo químico do látex dessa espécie forneceu o mais potente produto natural moluscicida, a miliamina L.MOREIRA, C. P. S.; ZANI, C. L.; ALVES, T. M. A. Atividade moluscicida do látex de Synadenium carinatum boiss. (Euphorbiaceae) sobre Biomphalaria glabratae isolamento do constituinte majoritário. Revista Eletrônica de Farmácia, n. 3, 2010 (adaptado)."," O uso desse látex em água infestada por hospedeiros intermediários tem potencial para atuar no controle da "," dengue. "," malária. "," elefantíase. "," ascaridíase. "," esquistossomose.","E",""
"ciencias-natureza",2015,79," A química verde permite o desenvolvimento tecnológico com danos reduzidos ao meio ambiente, e encontrar rotas limpas tem sido um grande desafio. Considere duas rotas diferentes utilizadas para a obtenção de ácido adípico, um insumo muito importante para a indústria têxtil e de plastificantes."," Que fator contribui positivamente para que a segunda rota de síntese seja verde em comparação com a primeira? ","Etapa única na síntese.","Obtenção do produto puro.","Ausência de reagentes oxidantes.","Ausência de elementos metálicos no processo.","Gasto de energia nulo na separação do produto.","A","enem-data/enem-2015/79-images/context_img_0.png"
"ciencias-natureza",2015,80," Um estudante, precisando instalar um computador, um monitor e uma lâmpada em seu quarto, verificou que precisaria fazer a instalação de duas tomadas e um interruptor na rede elétrica. Decidiu esboçar com antecedência o esquema elétrico.“O circuito deve ser tal que as tomadas e a lâmpada devem estar submetidas à tensão nominal da rede elétrica e a lâmpada deve poder ser ligada ou desligada por um interruptor sem afetar os outros dispositivos” – pensou. Símbolos adotados: "," Qual dos circuitos esboçados atende às exigências? ","enem-data/enem-2015/80-images/alt_img_0.png","enem-data/enem-2015/80-images/alt_img_1.png","enem-data/enem-2015/80-images/alt_img_2.png","enem-data/enem-2015/80-images/alt_img_3.png","enem-data/enem-2015/80-images/alt_img_4.png","E","enem-data/enem-2015/80-images/context_img_0.png"
"ciencias-natureza",2015,81," Normalmente, as células do organismo humano realizam a respiração aeróbica, na qual o consumo de uma molécula de glicose gera 38 moléculas de ATP. Contudo, em condições anaeróbicas, o consumo de uma molécula de glicose pelas células é capaz de gerar apenas duas moléculas de ATP."," Qual curva representa o perfil de consumo de glicose, para manutenção da homeostase de uma célula que inicialmente está em uma condição anaeróbica e é submetida a um aumento gradual da concentração de oxigênio? ","1","2","3","4","5","E","enem-data/enem-2015/81-images/context_img_0.png"
