"X","number","context","question","A","B","C","D","E","answer","context.images"
39,136,"A parte interior de uma taça foi gerada pela rotação de uma parábola em torno de um eixo z, conforme mostra a figura. A função real que expressa a parábola, no plano cartesiano da figura, é dada pela lei f(x) = (3/2)x² - 6x + C, onde C é a medida da altura do líquido contido na taça, em centímetros. Sabe-se que o ponto V, na figura, representa o vértice da parábola, localizado sobre o eixo x.","Nessas condições, a altura do líquido contido na taça, em centímetros, é","1","2","4","5","6","E","---"
20,137,"Muitos processos fisiológicos e bioquímicos, tais como batimentos cardíacos e taxa de respiração, apresentam escalas construídas a partir da relação entre superfície e massa (ou volume) do animal. Uma dessas escalas, por exemplo, considera que “o cubo da área S da superfície de um mamífero é proporcional ao quadrado de sua massa M”.HUGHES-HALLETT, D. et al. Cálculo e aplicações. São Paulo: Edgard Blücher, 1999 (adaptado).","Isso é equivalente a dizer que, para uma constante k > 0, a área S pode ser escrita em função de M por meio da expressão:","enem-data/enem-2013/137-images/alt_img_0.png","enem-data/enem-2013/137-images/alt_img_1.png","enem-data/enem-2013/137-images/alt_img_2.png","enem-data/enem-2013/137-images/alt_img_3.png","enem-data/enem-2013/137-images/alt_img_4.png","D",""
37,138,"A Lei da Gravitação Universal, de Isaac Newton, estabelece a intensidade da força de atração entre duas massas. Ela é representada pela expressão: F=G.(m1.m2)/d² onde m1 e m2 correspondem às massas dos corpos, d à distância entre eles, G à constante universal da gravitação e F à força que um corpo exerce sobre o outro. O esquema representa as trajetórias circulares de cinco satélites, de mesma massa, orbitando a Terra.","Qual gráfico expressa as intensidades das forças que a Terra exerce sobre cada satélite em função do tempo?","enem-data/enem-2013/138-images/alt_img_0.png","enem-data/enem-2013/138-images/alt_img_1.png","enem-data/enem-2013/138-images/alt_img_2.png","enem-data/enem-2013/138-images/alt_img_3.png","enem-data/enem-2013/138-images/alt_img_4.png","B","enem-data/enem-2013/138-images/context_img_0.png,enem-data/enem-2013/138-images/context_img_1.png"
3,139,"A cidade de Guarulhos (SP) tem o 8º PIB municipal do Brasil, além do maior aeroporto da América do Sul. Em proporção, possui a economia que mais cresce em indústrias, conforme mostra o gráfico.","Analisando os dados percentuais do gráfico, qual a diferença entre o maior e o menor centro em crescimento no polo das indústrias?","75,28","64,09","56,95","45,76","30,07","C","enem-data/enem-2013/139-images/context_img_0.png"
6,140,"Em um certo teatro, as poltronas são divididas em setores. A figura apresenta a vista do setor 3 desse teatro, no qual as cadeiras escuras estão reservadas e as claras não foram vendidas.","A razão que representa a quantidade de cadeiras reservadas do setor 3 em relação ao total de cadeiras desse mesmo setor é","17/10","17/53","53/70","53/17","70/17","A","enem-data/enem-2013/140-images/context_img_0.png"
8,141,"Uma loja acompanhou o número de compradores de dois produtos, A e B, durante os meses de janeiro, fevereiro e março de 2012. Com isso, obteve este gráfico:","A loja sorteará um brinde entre os compradores do produto A e outro brinde entre os compradores do produto B.Qual a probabilidade de que os dois sorteados tenham feito suas compras em fevereiro de 2012?","1/20","3/242","5/22","6/25","7/15","A","enem-data/enem-2013/141-images/context_img_0.png"
28,142,"Durante uma aula de Matemática, o professor sugere aos alunos que seja fixado um sistema de coordenadas cartesianas (x, y) e representa na lousa a descrição de cinco conjuntos algébricos, I, II, III, IV e V, como se segue: I — é a circunferência de equação x2 + y2 = 9; II — é a parábola de equação y = − x2 − 1, com x variando de −1 a 1; III — é o quadrado formado pelos vértices (−2, 1), (−1, 1), (−1, 2) e (−2, 2); IV — é o quadrado formado pelos vértices (1, 1), (2, 1), (2, 2) e (1, 2);V — é o ponto (0, 0). A seguir, o professor representa corretamente os cinco conjuntos sobre uma mesma malha quadriculada, composta de quadrados com lados medindo uma unidade de comprimento, cada, obtendo uma figura.","Qual destas figuras foi desenhada pelo professor?","enem-data/enem-2013/142-images/alt_img_0.png","enem-data/enem-2013/142-images/alt_img_1.png","enem-data/enem-2013/142-images/alt_img_2.png","enem-data/enem-2013/142-images/alt_img_3.png","enem-data/enem-2013/142-images/alt_img_4.png","E",""
40,143,"Uma indústria tem um reservatório de água com capacidade para 900 m3. Quando há necessidade de limpeza do reservatório, toda a água precisa ser escoada. O escoamento da água é feito por seis ralos, e dura 6 horas quando o reservatório está cheio. Esta indústria construirá um novo reservatório, com capacidade de 500 m3, cujo escoamento da água deverá ser realizado em 4 horas, quando o reservatório estiver cheio. Os ralos utilizados no novo reservatório deverão ser idênticos aos do já existente.","A quantidade de ralos do novo reservatório deverá ser igual a","2","4","5","8","9","C","---"
1,144,"Uma fábrica de fórmicas produz placas quadradas de lados de medida igual a y  centímetros. Essas placas são vendidas em caixas com N unidades e, na caixa, é especificada a área máxima S que pode ser coberta pelas N placas. Devido a uma demanda do mercado por placas maiores, a fábrica triplicou a medida dos lados de suas placas e conseguiu reuni-las em uma nova caixa, de tal forma que a área coberta S não fosse alterada.","A quantidade X, de placas do novo modelo, em cada nova caixa será igual a:","N/9","N/6","N/3","3N","9N","A",""
7,145,"Num parque aquático existe uma piscina infantil na forma de um cilindro circular reto, de 1 m de profundidade e volume igual a 12 m³, cuja base tem raio R e centro O. Deseja-se construir uma ilha de lazer seca no interior dessa piscina, também na forma de um cilindro circular reto, cuja base estará no fundo da piscina e com centro da base coincidindo com o centro do fundo da piscina, conforme a figura. O raio da ilha de lazer será r. Deseja-se que após a construção dessa ilha, o espaço destinado à água na piscina tenha um volume de, no mínimo, 4 m³. Considere 3 como valor aproximado para π.","Para satisfazer as condições dadas, o raio máximo da ilha de lazer r, em metros, estará mais próximo de","1,6","1,7","2,0","3,0","3,8","A","enem-data/enem-2013/145-images/context_img_0.png"
