"ano","numero","texto","comando","A","B","C","D","E","resposta","imagem"
2014,"136","A Figura 1 representa uma gravura retangular com 8 m de comprimento e 6 m de altura. Deseja-se reproduzi-la numa folha de papel retangular com 42 cm de comprimento e 30 cm de altura, deixando livres 3 cm em cada margem, conforme a Figura 2. A reprodução da gravura deve ocupar o máximo possível da região disponível, mantendo-se as proporções da Figura 1.","A escala da gravura reproduzida na folha de papel é","1 : 3.","1 : 4.","1 : 20.","1 : 25.","1 : 32.","D","enem-data/enem-2014/136-images/context_img_0.png,enem-data/enem-2014/136-images/context_img_1.png"
2014,"137","Uma empresa que organiza eventos de formatura confecciona canudos de diplomas a partir de folhas de papel quadradas. Para que todos os canudos fiquem idênticos,cada folha é enrolada em torno de um cilindro de madeira de diâmetro d em centímetros, sem folga, dando-se 5 voltas completas em torno de tal cilindro. Ao final, amarra-se um cordão no meio do diploma, bem ajustado, para que não ocorra o desenrolamento, como ilustrado na figura. Em seguida, retira-se o cilindro de madeira do meio do papel enrolado, finalizando a confecção do diploma. Considere que a espessura da folha de papel original seja desprezível. ","Qual é a medida, em centímetros, do lado da folha de papel usado na confecção do diploma? ","π d","2π d","4π d","5π d","10π d","D","enem-data/enem-2014/137-images/context_img_0.png"
2014,"138","Uma ponte precisa ser dimensionada de forma que possa ter três pontos de sustentação. Sabe-se que a carga máxima suportada pela ponte será de 12 t. O ponto de sustentação central receberá 60% da carga da ponte,e o restante da carga será distribuído igualmente entre os outros dois pontos de sustentação.","No caso de carga máxima, as cargas recebidas pelos três pontos de sustentação serão, respectivamente,","1,8 t; 8,4 t; 1,8 t.","3,0 t; 6,0 t; 3,0 t.","2,4 t; 7,2 t; 2,4 t.","3,6 t; 4,8 t; 3,6 t.","4,2 t; 3,6 t; 4,2 t.","C","---"
2014,"139","Para comemorar o aniversário de uma cidade, um artista projetou uma escultura transparente e oca, cujo formato foi inspirado em uma ampulheta. Ela é formada por três partes de mesma altura: duas são troncos de cone iguais e a outra é um cilindro. A figura é a vista frontal dessa escultura. No topo da escultura foi ligada uma torneira que verte água, para dentro dela, com vazão constante. ","O gráfico que expressa a altura (h) da água na escultura em função do tempo (t) decorrido é:","enem-data/enem-2014/139-images/alt_img_0.png","enem-data/enem-2014/139-images/alt_img_1.png","enem-data/enem-2014/139-images/alt_img_2.png","enem-data/enem-2014/139-images/alt_img_3.png","enem-data/enem-2014/139-images/alt_img_4.png","D","enem-data/enem-2014/139-images/context_img_0.png"
2014,"140","Um sinalizador de trânsito tem o formato de um cone circular reto. O sinalizador precisa ser revestido externamente com adesivo fluorescente, desde sua base (base do cone) até a metade de sua altura, para sinalização noturna. O responsável pela colocação do adesivo precisa fazer o corte do material de maneira quea forma do adesivo corresponda exatamente à parte da superfície lateral a ser revestida.","Qual deverá ser a forma do adesivo?","imagemA","imagemB","imagemC","imagemD","imagemE","E","---"
2014,"141","O gráfico apresenta as taxas de desemprego durante o ano de 2011 e o primeiro semestre de 2012 na região metropolitana de São Paulo. A taxa de desemprego total é a soma das taxas de desemprego aberto e oculto. Suponha que a taxa de desemprego oculto do mês de dezembro de 2012 tenha sido a metade da mesma taxa em junho de 2012 e que a taxa de desemprego total em dezembro de 2012 seja igual a essa taxa em dezembro de 2011. Disponível em: dieese.org.br. Acesso em: 1 ago. 2012 (fragmento).","Nesse caso, a taxa de desemprego aberto de dezembro de 2012 teria sido, em termos percentuais, de ","1,1.","3,5.","4,5.","6,8.","7,9.","E","enem-data/enem-2014/141-images/context_img_0.png"
2014,"142","A taxa de fecundidade é um indicador que expressa a condição reprodutiva média das mulheres de uma região, e é importante para uma análise da dinâmica demográfica dessa região. A tabela apresenta os dados obtidos pelos Censos de 2000 e 2010, feitos pelo IBGE, com relação à taxa de fecundidade no Brasil. Suponha que a variação percentual relativa na taxa de fecundidade no período de 2000 a 2010 se repita no período de 2010 a 2020.","Nesse caso, em 2020 a taxa de fecundidade no Brasil estará mais próxima de","1,14.","1,42.","1,52.","1,70.","1,80.","C","enem-data/enem-2014/142-images/context_img_0.png"
2014,"143","O Ministério da Saúde e as unidades federadas promovem frequentemente campanhas nacionais e locais de incentivo à doação voluntária de sangue, em regiões com menor número de doadores por habitante, com o intuito de manter a regularidade de estoques nos serviços hemoterápicos. Em 2010, foram recolhidos dados sobre o número de doadores e o número de habitantes de cada região conforme o quadro seguinte. Os resultados obtidos permitiram que estados, municípios e o governo federal estabelecessem as regiões prioritárias do país para a intensificação das campanhas de doação de sangue. A campanha deveria ser intensificada nas regiões em que o percentual de doadores por habitantes fosse menor ou igual ao do país. Disponível em: http://bvsms.saude.gov.br. Acesso em: 2 ago. 2013 (adaptado).","As regiões brasileiras onde foram intensificadas campanhas na época são","Norte, Centro-Oeste e Sul.","Norte, Nordeste e Sudeste.","Nordeste, Norte e Sul.","Nordeste, Sudeste e Sul.","Centro-Oeste, Sul e Sudeste.","B","enem-data/enem-2014/143-images/context_img_0.png"
2014,"144","Um show especial de Natal teve 45 000 ingressos vendidos. Esse evento ocorrerá em um estádio de futebol que disponibilizará 5 portões de entrada, com 4 catracas eletrônicas por portão. Em cada uma dessas catracas, passará uma única pessoa a cada 2 segundos. O público foi igualmente dividido pela quantidade de portões e catracas, indicados no ingresso para o show, para a efetiva entrada no estádio. Suponha que todos aqueles que compraram ingressos irão ao show e que todos passarão pelos portões e catracas eletrônicas indicados.","Qual é o tempo mínimo para que todos passem pelas catracas?","1 hora.","1 hora e 15 minutos.","5 horas.","6 horas.","6 horas e 15 minutos.","B","---"
2014,"145","Conforme regulamento da Agência Nacional de Aviação Civil (Anac), o passageiro que embarcar em voo doméstico poderá transportar bagagem de mão, contudo a soma das dimensões da bagagem (altura + comprimento + largura) não pode ser superior a 115 cm. A figura mostra a planificação de uma caixa que tem aforma de um paralelepípedo retângulo.","O maior valor possível para x, em centímetros, para que a caixa permaneça dentro dos padrões permitidos pela Anac é: ","25.","33.","42.","45.","49.","E","enem-data/enem-2014/145-images/context_img_0.png"
