"area","ano","numero","texto","comando","A","B","C","D","E","resposta","imagem"
"linguagens",2019,1," If children live with criticism, they learn to condemn. If children live with fear, they learn to be apprehensive. If children live with pity, they learn to feel sorry for themselves. If children live with ridicule, they learn to feel shy. If children live with tolerance, they learn patience. If children live with praise, they learn appreciation. If children live with acceptance, they learn to love. If children live with approval, they learn to like themselves. If children live with recognition, they learn it is good to have a goal. If children live with sharing, they learn generosity. If children live with fairness, they learn justice. If children live with kindness and consideration, they learn respect. If children live with friendliness, they learn the world is a nice place in which to live. NOLTE, D. L. Disponível em: www.americanfamilytraditions.com. Acesso em: 30 jul. 2012. "," Valores culturais de um povo revelam sua forma de ser, agir e pensar. Na concepção da autora, as diferentes formas de educar crianças nos Estados Unidos confirmam que as crianças ","temem quem as amedronta.","aprendem com o que vivem.","amam aqueles que as aceitam.","são gentis quando respeitadas.","ridicularizam quem as intimida.","B",""
"linguagens",2019,2," 5 Ways Pets Can Improve Your Health A pet is certainly a great friend. After a difficult day, pet owners quite literally feel the love. In fact, for nearly 25 years, research has shown that living with pets provides certain health benefits. Pets help lower blood pressure and lessen anxiety. They boost our immunity. They can even help you get dates. Allergy Fighters: A growing number of studies have suggested that kids growing up in a home with “furred animals” will have less risk of allergies and asthma. Date Magnets: Dogs are great for making love connections. Forget Internet matchmaking — a dog is a natural conversation starter. Dogs for the Aged: Walking a dog or just caring for a pet — for elderly people who are able — can provide exercise and companionship. Good for Mind and Soul: Like any enjoyable activity, playing with a dog can elevate levels of serotonin and dopamine — nerve transmitters that are known to have pleasurable and calming properties. Good for the Heart: Heart attack patients who have pets survive longer than those without, according to several studies. DAVIS, J. L. Disponível em: www.webmd.com. Acesso em: 21 abr. 2013 (adaptado). "," Ao discutir sobre a influência de animais de estimação no bem-estar do ser humano, a autora, a fim de fortalecer seus argumentos, utiliza palavras e expressões como research, a growing number of research e several studies com o objetivo de ","mostrar que animais de estimação ajudam na cura de doenças como alergias e asma.","convencer sobre os benefícios da adoção de animais de estimação para a saúde.","fornecer dados sobre os impactos de animais de estimação nas relações amorosas.","explicar como o contato com animais de estimação pode prevenir ataques cardíacos.","esclarecer sobre o modo como idosos devem se relacionar com animais de estimação.","B",""
"linguagens",2019,3," KEEFER, M. Disponível em: www.nj.com. Acesso em: 3 dez. 2018.","No cartum, o estudante faz uma pergunta usando turn this thing on por","suspeitar que o colega está com seu material  por engano.","duvidar que o colega possa se tornar um  bom aluno.","desconfiar que o livro levado é de outra matéria.","entender como desligada a postura do colega.","desconhecer como usar um livro impresso.","E",""
"linguagens",2019,4," LETTER TO THE EDITOR: Sugar fear-mongering unhelpful By The Washington Times Tuesday, June 25, 2013 In his recent piece “Is obesity a disease?” (Web, June 19), Dr. Peter Lind refers to high-fructose corn syrup and other “manufactured sugars” as “poison” that will “guarantee storage of fat in the body.” Current scientific research strongly indicates that obesity results from excessive calorie intake combined with a sedentary lifestyle. The fact is Americans are consuming more total calories now than ever before. According to the U.S. Department of Agriculture, our total per-capita daily caloric intake increased by 22 percent from 2,076 calories per day in 1970 to 2,534 calories per day in 2010 — an additional 458 calories, only 34 of which come from increased added sugar intake. A vast majority of these calories come from increased fats and flour/ cereals. Surprisingly, the amount of caloric sweeteners (i.e. sugar, high-fructose, corn syrup, honey, etc.). Americans consume has actually decreased over the past decade. We need to continue to study the obesity epidemic to see what more can be done, but demonizing one specific ingredient accomplishes nothing and raises unnecessary fears that get in the way of real solutions. JAMES M. RIPPE Shrewsbury, Mass. <p style=”text-align: right;”><strong>Dispon&iacute;vel em:</strong> www.washingtontimes.com. Acesso em: 29 jul. 2013 (adaptado).</p> "," Ao abordar o assunto “obesidade”, em uma seção de jornal, o autor ","defende o consumo liberado de açúcar.","aponta a gordura como o grande vilão da saúde.","demonstra acreditar que a obesidade não é preocupante.","indica a necessidade de mais pesquisas sobre o assunto.","enfatiza a redução de ingestão de calorias pelos americanos.","D",""
"linguagens",2019,5," In this life Sitting on a park bench Thinking about a friend of mine He was only twenty-three Gone before he had his time. It came without a warning Didnꞌt want his friends to see him cry He knew the day was dawning And I didnꞌt have a chance to say goodbye. MADONNA. Erotica. Estados Unidos: Maverick, 1992. "," A canção, muitas vezes, é uma forma de manifestar sentimentos e emoções da vida cotidiana. Por exemplo, o sofrimento retratado nessa canção foi causado ","pela morte precoce de um amigo jovem.","pelo término de um relacionamento amoroso.","pela mudança de um amigo para outro país.","pelo fim de uma amizade de mais de vinte anos.","pela traição por parte de pessoa próxima.","A",""
"linguagens",2019,6," Um amor desse Era 24 horas lado a lado Um radar na pele, aquele sentimento alucinado Coração batia acelerado Bastava um olhar pra eu entender Que era hora de me entregar pra você Palavras não faziam falta mais Ah, só de lembrar do seu perfume Que arrepio, que calafrio Que o meu corpo sente Nem que eu queira, eu te apago da minha mente Ah, esse amor Deixou marcas no meu corpo Ah, esse amor Só de pensar, eu grito, eu quase morro AZEVEDO, N.; LEÃO, W.; QUADROS, R. Coração pede socorro. Rio de Janeiro: Som Livre, 2018 (fragmento). "," Essa letra de canção foi composta especialmente para uma campanha de combate à violência contra as mulheres, buscando conscientizá-las acerca do limite entre relacionamento amoroso e relacionamento abusivo. Para tanto, a estratégia empregada na letra é a ","revelação da submissão da mulher à situação de violência, que muitas vezes a leva à morte.","ênfase na necessidade de se ouvirem os apelos da mulher agredida, que continuamente pede socorro.","exploração de situação de duplo sentido, que mostra que atos de dominação e violência não configuram amor.","divulgação da importância de denunciar a violência doméstica, que atinge um grande número de mulheres no país.","naturalização de situações opressivas, que fazem parte da vida de mulheres que vivem em uma sociedade patriarcal.","C",""
"linguagens",2019,7," Disponível em: http://palavrastempoder.org. Acesso em: 20 abr. 2015 "," Pela análise do conteúdo, constata-se que essa campanha publicitária tem como função social ","propagar a imagem positiva do Ministério Público.","conscientizar a população que direitos implicam deveres.","coibir violações de direitos humanos nos meios de comunicação.","divulgar políticas sociais que combatem a intolerância e o preconceito.","instruir as pessoas sobre a forma correta de expressão nas redes sociais.","B","enem-data/enem-2019/7-images/context_img_0.png"
"linguagens",2019,8," Mídias: aliadas ou inimigas da educação física escolar? No caso do esporte, a mediação efetuada pela câmera de TV construiu uma nova modalidade de consumo: o esporte telespetáculo, realidade textual relativamente autônoma face à prática “real” do esporte, construída pela codificação e mediação dos eventos esportivos efetuados pelo enquadramento, edição das imagens e comentários, interpretando para o espectador o que ele está vendo. Esse fenômeno tende a valorizar a forma em relação ao conteúdo, e para tal faz uso privilegiado da linguagem audiovisual com ênfase na imagem cujas possibilidades são levadas cada vez mais adiante, em decorrência dos avanços tecnológicos. Por outro lado, a narração esportiva propõe uma concepção hegemônica de esporte: esporte é esforço máximo, busca da vitória, dinheiro… O preço que se paga por sua espetacularização é a fragmentação do fenômeno esportivo. A experiência global do ser-atleta é modificada: a sociabilização no confronto e a ludicidade não são vivências privilegiadas no enfoque das mídias, mas as eventuais manifestações de violência, em partidas de futebol, por exemplo, são exibidas e reexibidas em todo o mundo. BETTI, M. Motriz, n. 2, jul.-dez. 2001 (adaptado). "," A reflexão trazida pelo texto, que aborda o esporte telespetáculo, está fundamentada na ","distorção da experiência do ser-atleta para os espectadores.","interpretação dos espectadores sobre o conteúdo transmitido.","utilização de equipamentos audiovisuais de última geração.","valorização de uma visão ampliada do esporte.","equiparação entre a forma e o conteúdo.","A",""
"linguagens",2019,9," Meu caro Sherlock Holmes, algo horrível aconteceu às três da manhã no Jardim Lauriston. Nosso homem que estava na vigia viu uma luz às duas da manhã saindo de uma casa vazia. Quando se aproximou, encontrou a porta aberta e, na sala da frente, o corpo de um cavalheiro bem vestido. Os cartões que estavam em seu bolso tinham o nome de Enoch J. Drebber, Cleveland, Ohio, EUA. Não houve assalto e nosso homem não conseguiu encontrar algo que indicasse como ele morreu. Não havia marcas de sangue, nem feridas nele. Não sabemos como ele entrou na casa vazia. Na verdade, todo assunto é um quebra-cabeça sem fim. Se puder vir até a casa seria ótimo, se não, eu lhe conto os detalhes e gostaria muito de saber sua opinião. Atenciosamente, Tobias Gregson. DOYLE, A. C. Um estudo em vermelho. Cotia: Pé de Letra, 2017 "," Considerando o objetivo da carta de Tobias Gregson, a sequência de enunciados negativos presente nesse texto tem a função de ","restringir a investigação, deixando-a sob a responsabilidade do autor da carta.","refutar possíveis causas da morte do cavalheiro, auxiliando na investigação.","identificar o local da cena do crime, localizando-o no Jardim Lauriston.","introduzir o destinatário da carta, caracterizando sua personalidade.","apresentar o vigia, incluindo-o entre os suspeitos do assassinato.","B",""
"linguagens",2019,10," Uma ouriça Se o de longe esboça lhe chegar perto, se fecha (convexo integral de esfera), se eriça (bélica e multiespinhenta): e, esfera e espinho, se ouriça à espera. Mas não passiva (como ouriço na loca); nem só defensiva (como se eriça o gato); sim agressiva (como jamais o ouriço), do agressivo capaz de bote, de salto (não do salto para trás, como o gato): daquele capaz de salto para o assalto. Se o de longe lhe chega em (de longe), de esfera aos espinhos, ela se desouriça. Reconverte: o metal hermético e armado na carne de antes (côncava e propícia), e as molas felinas (para o assalto), nas molas em espiral (para o abraço). MELO NETO, J. C. A educação pela pedra. Rio de Janeiro: Nova Fronteira, 1997. "," Com apuro formal, o poema tece um conjunto semântico que metaforiza a atitude feminina de ","tenacidade transformada em brandura.","obstinação traduzida em isolamento.","inércia provocada pelo desejo platônico.","irreverência cultivada de forma cautelosa.","desconfiança consumada pela intolerância.","A",""
