"number","context","question","A","B","C","D","E","answer","context.images"
136,"Os congestionamentos de trânsito constituem um problema que aflige, todos os dias, milhares de motoristas brasileiros. O gráfico ilustra a situação, representando, ao longo de um intervalo definido de tempo, a variação da velocidade de um veículo durante um congestionamento.","Quantos minutos o veículo permaneceu imóvel ao longo do intervalo de tempo total analisado?","4.","3.","2.","1.","0.","C","enem-data/enem-2017/136-images/context_img_0.png"
137,"Um garçom precisa escolher uma bandeja de base retangular para servir quatro taças de espumante que precisam ser dispostas em uma única fileira, paralela ao lado maior da bandeja, e com suas bases totalmente apoiadas na bandeja. A base e a borda superior das taças são círculos de raio 4 cm e 5 cm, respectivamente.","A bandeja a ser escolhida deverá ter uma área mínima, em centímetro quadrado, igual a","192.","300.","304.","320.","400.","C","enem-data/enem-2017/137-images/context_img_0.png"
138,"Em uma cantina, o sucesso de venda no verão são sucos preparados à base de polpa de frutas. Um dos sucos mais vendidos é o de morango com acerola, que é preparado com 2 1 3 de polpa de morango e 3 de polpa de acerola. Para o comerciante, as polpas são vendidas em embalagens de igual volume. Atualmente, a embalagem da polpa de morango custa R$ 18,00 e a de acerola, R$ 14,70. Porém, está prevista uma alta no preço da embalagem da polpa de acerola no próximo mês, passando a custar R$ 15,30. Para não aumentar o preço do suco, o comerciante negociou com o fornecedor uma redução no preço da embalagem da polpa de morango.","A redução, em real, no preço da embalagem da polpa de morango deverá ser de","1,20","0,90","0,60","0,40","0,30","E",""
139,"Um casal realiza sua mudança de domicílio e necessita colocar numa caixa de papelão um objeto cúbico, de 80 cm de aresta, que não pode ser desmontado. Eles têm à disposição cinco caixas, com diferentes dimensões, conforme descrito:• Caixa 1: 86 cm x 86 cm x 86 cm• Caixa 2: 75 cm x 82 cm x 90 cm• Caixa 3: 85 cm x 82 cm x 90 cm• Caixa 4: 82 cm x 95 cm x 82 cm• Caixa 5: 80 cm x 95 cm x 85 cm O casal precisa escolher uma caixa na qual o objeto caiba, de modo que sobre o menor espaço livre em seu interior.","A caixa escolhida pelo casal deve ser a de número","1.","2.","3.","4.","5.","C",""
140,"Uma empresa construirá sua página na internet e espera atrair um público de aproximadamente um milhão de clientes. Para acessar essa página, será necessária uma senha com formato a ser definido pela empresa. Existem cinco opções de formato oferecidas pelo programador, descritas no quadro, em que “L” e “D” representam, respectivamente, letra maiúscula e dígito. As letras do alfabeto, entre as 26 possíveis, bem como os dígitos, entre os 10 possíveis, podem se repetir em qualquer das opções. A empresa quer escolher uma opção de formato cujo número de senhas distintas possíveis seja superior ao número esperado de clientes, mas que esse número não seja superior ao dobro do número esperado de clientes.","A opção que mais se adequa às condições da empresa é","I","II","III","IV","V","E","enem-data/enem-2017/140-images/context_img_0.png"
141,"Como não são adeptos da prática de esportes, um grupo de amigos resolveu fazer um torneio de futebol utilizando videogame. Decidiram que cada jogador joga uma única vez com cada um dos outros jogadores. O campeão será aquele que conseguir o maior número de pontos. Observaram que o número de partidas jogadas depende do número de jogadores, como mostra o quadro:","Se a quantidade de jogadores for 8, quantas partidas serão realizadas?","64","56","49","36","28","E","enem-data/enem-2017/141-images/context_img_0.png"
142,"Um morador de uma região metropolitana tem 50% de probabilidade de atrasar-se para o trabalho quando chove na região; caso não chova, sua probabilidade de atraso é de 25%. Para um determinado dia, o serviço de meteorologia estima em 30% a probabilidade da ocorrência de chuva nessa região.","Qual é a probabilidade de esse morador se atrasar para o serviço no dia para o qual foi dada a estimativa de chuva?","0,075","0,150","0,325","0,600","0,800","C",""
143,"Às 17 h 15 min começa uma forte chuva, que cai com intensidade constante. Uma piscina em forma de um paralelepípedo retângulo, que se encontrava inicialmente vazia, começa a acumular a água da chuva e, às 18 horas, o nível da água em seu interior alcança 20 cm de altura. Nesse instante, é aberto o registro que libera o escoamento da água por um ralo localizado no fundo dessa piscina, cuja vazão é constante. Às 18 h 40 min a chuva cessa e, nesse exato instante, o nível da água na piscina baixou para 15 cm.","O instante em que a água dessa piscina terminar de escoar completamente está compreendido entre","19 h 30 min e 20 h 10 min","19 h 20 min e 19 h 30 min","19 h 10 min e 19 h 20 min","19 h e 19 h 10 min","18 h 40 min e 19 h","D",""
144,"Um empréstimo foi feito à taxa mensal de i%, usando juros compostos, em oito parcelas fixas e iguais a P.O devedor tem a possibilidade de quitar a dívida antecipadamente a qualquer momento, pagando para isso o valor atual das parcelas ainda a pagar. Após pagar a 5ª parcela, resolve quitar a dívida no ato de pagar a 6ª parcela.","A expressão que corresponde ao valor total pago pela quitação do empréstimo é:","enem-data/enem-2017/144-images/alt_img_0.png","enem-data/enem-2017/144-images/alt_img_1.png","enem-data/enem-2017/144-images/alt_img_2.png","enem-data/enem-2017/144-images/alt_img_3.png","enem-data/enem-2017/144-images/alt_img_4.png","A",""
145,"Para realizar a viagem dos sonhos, uma pessoa precisava fazer um empréstimo no valor de R$ 5000,00. Para pagar as prestações, dispõe de, no máximo, R$ 400,00 mensais. Para esse valor de empréstimo, o valor da prestação (P) é calculado em função do número de prestações (n) segundo a fórmula Se necessário, utilize 0,005 como aproximação para log 1,013; 2,602 como aproximação para log 400; 2,525 como aproximação para log 335.","De acordo com a fórmula dada, o menor número de parcelas cujos valores não comprometem o limite definido pela pessoa é","12","14","15","16","17","D","enem-data/enem-2017/145-images/context_img_0.png"
146,"Raios de luz solar estão atingindo a superfície de um lago formando um ângulo X com a sua superfície, conforme indica a figura.Em determinadas condições, pode-se supor que a intensidade luminosa desses raios, na superfície do lago, seja dada aproximadamente por I(x) = k . sen(x)sendo k uma constante, e supondo-se que X está entre 0° e 90º.","Quando x = 30º, a intensidade luminosa se reduz a qual percentual de seu valor máximo?","33%","50%","57%","70%","86%","B","enem-data/enem-2017/146-images/context_img_0.png"
147,"A imagem apresentada na figura é uma cópia em preto e branco da tela quadrada intitulada O peixe, de Marcos Pinto, que foi colocada em uma parede para exposição e fixada nos pontos A e B.Por um problema na fixação de um dos pontos, a tela se desprendeu, girando rente à parede. Após o giro, ela ficou posicionada como ilustrado na figura, formando um ângulo de 45° com a linha do horizonte.Para recolocar a tela na sua posição original, deve-se girá-la, rente à parede, no menor ângulo possível inferior a 360°","A forma de recolocar a tela na posição original, obedecendo ao que foi estabelecido, é girando-a em um ângulo de","90° no sentido horário.","135° no sentido horário.","180° no sentido anti-horário.","270° no sentido anti-horário","315° no sentido horário.","B","enem-data/enem-2017/147-images/context_img_0.png"
148,"A avaliação de rendimento de alunos de um curso universitário baseia-se na média ponderada das notas obtidas nas disciplinas pelos respectivos números de créditos, como mostra o quadro:Quanto melhor a avaliação de um aluno em determinado período letivo, maior sua prioridade na escolha de disciplinas para o período seguinte.Determinado aluno sabe que se obtiver avaliação “Bom” ou “Excelente” conseguirá matrícula nas disciplinas que deseja. Ele já realizou as provas de 4 das 5 disciplinas em que está matriculado, mas ainda não realizou a prova da disciplina I, conforme o quadro.","Para que atinja seu objetivo, a nota mínima que ele deve conseguir na disciplina I é","7,00.","7,38.","7,50.","8,25.","9,00.","D","enem-data/enem-2017/148-images/context_img_0.png,enem-data/enem-2017/148-images/context_img_1.png"
